-0.0183931-0.0186868i	-0.0140079-0.0200362i	-0.0167621-0.0240471i	-0.0148186-0.0250236i	-0.0120342-0.0265396i	-0.0113593-0.023611i	-0.011322-0.0250031i	-0.0127859-0.0244389i	-0.0124521-0.0242307i	-0.0128855-0.0275102i	-0.015071-0.028805i	-0.0152337-0.0298177i	-0.0152293-0.0307225i	-0.0295952+0.0133964i	-0.0286996+0.0133469i	0.0291824-0.015864i	-0.0276766+0.0157327i	-0.0272031+0.0179524i	-0.0278998+0.0167839i	0.0330754-0.0176821i	-0.0296587+0.0143419i	-0.0322905+0.0121107i	0.034553-0.0119007i	0.0341018-0.0126932i	-0.0334001+0.0136365i	0.0347942-0.0135272i	-0.0348177+0.018134i	-0.0376725+0.0198636i	-0.0386542+0.0220877i	-0.0353105+0.0234809i
-0.00364186-0.00902278i	-0.0048877-0.00831985i	-0.00619783-0.0080531i	-0.00393375-0.00738241i	-0.00244545-0.00723298i	-0.00216307-0.00657254i	-0.00226602-0.00634112i	-0.00234684-0.00616495i	-0.00208669-0.00617121i	-0.00234783-0.00636783i	-0.00280045-0.0062334i	-0.00303679-0.0064404i	-0.00286595-0.00577103i	-0.00578777+0.00248769i	-0.00483021+0.00225545i	0.00473635-0.00247167i	-0.00456897+0.00222263i	-0.00498768+0.00232839i	-0.0047536+0.0022785i	0.00449652-0.00232713i	-0.00468905+0.00277516i	-0.00484219+0.00307746i	0.00471645-0.00261292i	0.00545952-0.0020857i	-0.00600806+0.00216298i	0.00612485-0.002422i	-0.00679981+0.00237868i	-0.00707092+0.00304507i	-0.00694402+0.0030256i	-0.0063662+0.00304327i
-0.00245435-0.00327776i	-0.00380517-0.00319987i	-0.00531849-0.00351269i	-0.00337333-0.00321687i	-0.00203425-0.00314064i	-0.00164699-0.00288184i	-0.00138113-0.00268228i	-0.00105759-0.00286051i	-0.000204737-0.00292287i	-0.000955926-0.00315531i	-0.00102965-0.00321608i	-0.000786652-0.00343202i	-0.000880008-0.00334596i	-0.00331072+0.000338032i	-0.00300999+0.000317201i	0.00305655-0.000486113i	-0.00298136+0.00047992i	-0.00320977+0.000396354i	-0.00320814+0.000161122i	0.00324007-0.000198989i	-0.00330841+0.000958401i	-0.00333697+0.00111661i	0.00312339-0.000451606i	0.00330859+0.000218521i	-0.00363943+6.99291e-06i	0.00365126-0.00012781i	-0.0042212-0.00045191i	-0.0045155-5.56264e-06i	-0.00480355-0.000309129i	-0.00457152-0.000519277i
-0.00323425-0.00735823i	-0.00277385-0.00742333i	-0.00305743-0.00714959i	-0.00226838-0.00650243i	-0.00136942-0.00594107i	-0.000954261-0.00538105i	-0.000834286-0.00463052i	-0.00130043-0.00465397i	-0.00192429-0.00480792i	-0.00197157-0.0046873i	-0.00196615-0.00428216i	-0.00191947-0.00426214i	-0.00148802-0.00391123i	-0.00386669+0.0013269i	-0.00372932+0.00108744i	0.0038537-0.00107575i	-0.0037602+0.00107222i	-0.00418073+0.00145571i	-0.00413479+0.00203942i	0.00395112-0.00198306i	-0.00402765+0.00167158i	-0.00406702+0.0017924i	0.00404125-0.00199669i	0.00451811-0.00216453i	-0.00436918+0.00176642i	0.00443793-0.00163413i	-0.00495545+0.00110178i	-0.00508143+0.00100283i	-0.00525209+0.00116652i	-0.0052484+0.00159866i
-0.00567765-0.00146814i	-0.00512793-0.000318899i	-0.00377982-0.000616304i	-0.00284433-0.000658485i	-0.00309787-0.00180752i	-0.00335768-0.00129075i	-0.00338553-0.00117205i	-0.00380156-0.00132003i	-0.00398464-0.0014174i	-0.00409293-0.0017876i	-0.00389623-0.00179276i	-0.00397832-0.00214552i	-0.00387125-0.00227111i	-0.00182141+0.00337764i	-0.00139011+0.00193372i	0.00156419-0.00169133i	-0.00186953+0.00177507i	-0.00231729+0.00175812i	-0.00174644+0.00114354i	0.00209259-0.00120761i	-0.00211852+0.00122483i	-0.00230488+0.00136083i	0.00218584-0.00114345i	0.00240678-0.00189664i	-0.00333129+0.00223351i	0.00311167-0.00312685i	-0.00305124+0.00506856i	-0.00155894+0.00508229i	-0.00138572+0.00400597i	-0.00144114+0.00302547i
-0.00149112+0.00307806i	-0.00177165+0.00360258i	-0.00200339+0.00299194i	-0.00194116+0.00259431i	-0.00219305+0.00240987i	-0.00232523+0.00243662i	-0.00250261+0.00213661i	-0.00303819+0.00195425i	-0.00292672+0.00186807i	-0.0030244+0.00167983i	-0.00242367+0.00157521i	-0.00213785+0.00139485i	-0.00213198+0.000849343i	0.000639072+0.00223547i	0.000566803+0.00198347i	-0.00064335-0.00188418i	0.000716581+0.00188778i	0.000464673+0.00172274i	0.000380362+0.00162552i	-0.000510925-0.00164817i	0.000369996+0.00186638i	0.000111392+0.0019654i	7.09128e-06-0.00199358i	-0.000207783-0.00205512i	0.000574961+0.00175968i	-0.000954315-0.00239177i	0.00135833+0.00268069i	0.00171632+0.00269747i	0.0017781+0.00250789i	0.0014872+0.00253585i
-0.00359803+0.00316776i	-0.00459119+0.0036192i	-0.00450348+0.00304363i	-0.00377924+0.00268658i	-0.00370425+0.00228642i	-0.0038575+0.00246663i	-0.00383101+0.00218554i	-0.00428703+0.0019819i	-0.00414412+0.0018824i	-0.00414259+0.00171205i	-0.00371014+0.00159651i	-0.00335069+0.00146609i	-0.00330545+0.000843677i	0.00067633+0.00318734i	0.000533357+0.00292104i	-0.000608909-0.00274046i	0.000543028+0.00263311i	0.000301711+0.00264046i	0.000198748+0.00209604i	-0.000297211-0.00197554i	0.000139116+0.00230852i	-0.000159132+0.00239042i	0.000136401-0.0023528i	-3.19189e-05-0.0022531i	0.000202508+0.00231209i	-0.000539161-0.00281922i	0.0007698+0.00320677i	0.00122587+0.0030175i	0.00105376+0.00256822i	0.000858968+0.00243575i
-0.00293549+0.00341181i	-0.00296292+0.0042285i	-0.00343768+0.00365282i	-0.00352935+0.00294346i	-0.00350391+0.00274916i	-0.00315453+0.00255448i	-0.00357667+0.00239818i	-0.00354275+0.00223635i	-0.00372905+0.00219299i	-0.00351818+0.00197139i	-0.00334174+0.00183765i	-0.00267952+0.00163045i	-0.00282457+0.0010233i	0.000751428+0.00240724i	0.000654774+0.0024238i	-0.000784334-0.00215064i	0.000760907+0.00234852i	0.000595615+0.00217041i	0.00076519+0.00185496i	-0.000741135-0.00183704i	0.000742459+0.00242156i	0.000546588+0.00226432i	-0.000517425-0.00249583i	-0.000891669-0.00228798i	0.00104702+0.00270045i	-0.00126189-0.00286974i	0.00145841+0.00357361i	0.00207333+0.00369672i	0.00218152+0.00381528i	0.00211081+0.00351666i
0.00082572+0.0027398i	0.000170975+0.00292417i	-0.000637181+0.00203033i	0.001057+0.00171125i	0.00035681+0.00228563i	-1.97919e-05+0.00243858i	-0.000707639+0.00231019i	-0.00159125+0.00208554i	-0.00177573+0.00183153i	-0.00143772+0.00186469i	-0.000920668+0.0017907i	-0.0010028+0.00182128i	-0.000740378+0.00149451i	0.00148057+0.000266894i	0.00182878-0.00053009i	-0.00153126+0.00065915i	0.00156241-0.000814087i	0.00147211-0.000506609i	0.00134849-0.000287325i	-0.00114136+0.000414841i	0.000958464-0.000299861i	0.000853342-0.000103214i	-0.000917881-0.000423295i	-0.000612548-0.000931483i	0.000925788+0.0010085i	-0.00140436-0.00173649i	0.00200344+0.00216787i	0.00263368+0.00265493i	0.00228205+0.00269602i	0.00216626+0.00294799i
0.0796901-0.0511916i	0.079433-0.0500188i	0.0804693-0.0517683i	0.0762541-0.0494657i	0.0714736-0.0501437i	0.0677919-0.049526i	0.0654577-0.0483417i	0.0642578-0.0481995i	0.0632554-0.0474506i	0.0637772-0.048725i	0.0628087-0.0496765i	0.0636797-0.0497225i	0.0618005-0.049869i	-0.0479575-0.0620969i	-0.0472935-0.0606591i	0.0486212+0.0603345i	-0.0481102-0.0600071i	-0.0487172-0.0614572i	-0.0491719-0.061137i	0.0495422+0.0595338i	-0.0500408-0.0593056i	-0.0508951-0.0601532i	0.0499034+0.0584898i	0.0504583+0.0586256i	-0.051486-0.0565767i	0.054879+0.0587285i	-0.0533335-0.059415i	-0.0545041-0.0630005i	-0.0562593-0.0651537i	-0.0566737-0.0664445i
0.0199802+0.29679i	0.0259682+0.297781i	0.0324225+0.303891i	0.0311956+0.29215i	0.0301994+0.276248i	0.0285019+0.264981i	0.0287386+0.256463i	0.0295484+0.254623i	0.0307616+0.251652i	0.0316932+0.253452i	0.0330771+0.252533i	0.0330974+0.254932i	0.0343134+0.251619i	0.250086-0.027498i	0.246852-0.0277433i	-0.245016+0.0296729i	0.244957-0.0300796i	0.247921-0.0277325i	0.247136-0.0291852i	-0.24475+0.0306939i	0.245909-0.031057i	0.249484-0.0309338i	-0.24532+0.0307427i	-0.246755+0.0299683i	0.244517-0.0310816i	-0.252605+0.0316538i	0.250579-0.0303327i	0.256594-0.0302235i	0.261852-0.029549i	0.262757-0.027857i
-0.0951439+0.0440242i	-0.0947422+0.0464524i	-0.096413+0.0484551i	-0.0935703+0.0464502i	-0.0884496+0.0440047i	-0.0852823+0.0427091i	-0.0816542+0.0421552i	-0.0804192+0.0420044i	-0.079212+0.0425397i	-0.0799183+0.0434816i	-0.0794868+0.0432883i	-0.079911+0.0440173i	-0.0789547+0.0434775i	0.0413192+0.0787526i	0.0409317+0.0769452i	-0.0414966-0.0753818i	0.0415312+0.0753201i	0.0410408+0.0770447i	0.0412021+0.076713i	-0.041684-0.0759718i	0.0417795+0.0760557i	0.0419357+0.0772946i	-0.0412741-0.0762672i	-0.042482-0.0765983i	0.0429688+0.0757345i	-0.0442673-0.0788596i	0.0441745+0.0785765i	0.0462495+0.0805332i	0.0468705+0.0814408i	0.0470446+0.0820258i
