-0.0501423-0.141919i	-0.0786797-0.114011i	0.0268884+0.129206i	-0.0256559-0.115296i	0.0464647+0.103926i	0.0607591+0.112138i	-0.101019-0.0874683i	0.121388+0.0530026i	0.123947+0.0505871i	-0.143111-0.0535641i	0.159554+0.0480842i	-0.149476-0.0441024i	0.161127+0.0310587i	0.141543+0.0372695i	0.118275+0.0469251i	-0.123056-0.0173526i	0.185541-0.02789i	-0.178952+0.0154596i	-0.185287+0.0398339i	0.157232+0.00046698i	0.0999218+0.0533385i	0.0688521+0.0783413i	-0.101446-0.0531332i	0.143143+0.0324583i	-0.127327-0.0504685i	-0.136598-0.057866i	-0.138441-0.0562539i	0.148786+0.0384869i	-0.157653-0.0391325i	-0.167138-0.0382143i
-0.0726099-0.0374556i	0.00546864-0.0914251i	0.00602543+0.0728717i	-0.00150971-0.0797022i	0.0049258+0.0818981i	-0.0039136+0.0958449i	0.0204326-0.121898i	-0.0224681+0.126336i	-0.0306001+0.125914i	0.0511552-0.127305i	-0.0423932+0.117047i	0.0404847-0.109931i	-0.045271+0.115979i	-0.0316012+0.114011i	-0.0139649+0.0951841i	0.00563959-0.0945626i	-0.0191202+0.0829375i	0.0421992-0.116007i	0.0233528-0.0981179i	-0.00943585+0.0759552i	-0.00125872+0.070306i	0.00973782+0.0615702i	-0.0142639-0.0518519i	0.0187155+0.0537936i	-0.0204432-0.0603409i	-0.0148571-0.0665636i	-0.0175945-0.0687238i	0.033972+0.0739017i	-0.0257233-0.073308i	-0.0220247-0.070296i
-0.0435019-0.0277588i	0.0136794-0.0693421i	-0.00958568+0.0576205i	0.0361934-0.0773624i	-0.037344+0.0826428i	-0.0560056+0.102706i	0.0972978-0.151519i	-0.0997805+0.159007i	-0.121701+0.173127i	0.159263-0.172318i	-0.159014+0.164418i	0.155104-0.154287i	-0.159157+0.163045i	-0.13114+0.157572i	-0.0880713+0.123883i	0.0668102-0.112926i	-0.0861916+0.0990117i	0.133809-0.162745i	0.0973446-0.130152i	-0.0737443+0.0922532i	-0.0714126+0.0895817i	-0.049251+0.0718734i	0.0292445-0.045003i	-0.0227204+0.0412199i	0.0207055-0.0452197i	0.0332733-0.0518477i	0.033526-0.0486339i	-0.0147112+0.0517398i	0.0386245-0.0615217i	0.0417199-0.0574165i
-0.0393964-0.023007i	-0.0267967-0.0379604i	0.0370712+0.0207569i	-0.0460968-0.0119257i	0.0559451+0.0129445i	0.0588363+0.0126937i	-0.0654631-0.00976795i	0.0644907+0.010269i	0.0759853+0.00304574i	-0.0900481+0.00446041i	0.0934052-0.00462575i	-0.0909564+0.00140852i	0.0872426-0.0014251i	0.0791217+0.00358894i	0.0705365+0.0123619i	-0.0619525-0.0141603i	0.0618543+0.0125998i	-0.072219+0.000716531i	-0.0592799-0.0114099i	0.0471969+0.0253976i	0.0647078+0.0072032i	0.0507028+0.0166603i	-0.0400847-0.0302246i	0.0332019+0.0382285i	-0.0356279-0.0344097i	-0.0422408-0.0320732i	-0.0380183-0.0404803i	0.0411601+0.0422372i	-0.0412853-0.0375902i	-0.0411771-0.0369054i
-0.0100163-0.0239866i	-0.011385-0.0391002i	-0.0119682+0.0313459i	0.0103066-0.0416718i	-0.0164513+0.0517689i	-0.035084+0.0554587i	0.0452603-0.0466626i	-0.067897+0.0896964i	-0.0648118+0.0760082i	0.0831256-0.0757588i	-0.0983555+0.0819215i	0.0932054-0.0711229i	-0.110337+0.0828869i	-0.126601+0.0992137i	-0.119864+0.0998301i	0.106012-0.104735i	-0.0467449+0.0364i	0.0457136-0.0451864i	0.0289293-0.0315328i	-0.0102569+0.0237442i	-0.0108568+0.0399193i	0.00675316+0.0298989i	-0.0187007-0.0191809i	0.0281814+0.0164112i	-0.0228013-0.0261527i	-0.0255894-0.0231834i	-0.0346353-0.0276505i	0.0496376+0.00501974i	-0.0241941+0.00102512i	-0.0163054-0.00228259i
-0.0153363+0.0154943i	-0.0116902+0.0114507i	0.0209645-0.0268167i	-0.0316182+0.0274744i	0.03823-0.0149385i	0.0381219-0.0137572i	-0.0333252+0.0230604i	0.0112887+0.00529306i	0.0156144+0.000978487i	0.00619733-0.0147247i	-0.015771+0.0179264i	0.00960374-0.0185139i	-0.0198991+0.0275128i	-0.018929+0.0319801i	-0.00107966+0.0227334i	-0.00231868-0.021267i	0.0242386-0.01116i	-0.0138355-0.00674776i	-0.0096102-0.0102209i	0.0193388-0.00328707i	0.0343892-0.0135079i	0.0204418-0.00300872i	-0.0266437+0.00611451i	0.0234551-0.00881216i	-0.0208838+0.009788i	-0.0243511+0.0169749i	-0.0302445+0.0196571i	0.0425173-0.0255215i	-0.0298402+0.0223725i	-0.031106+0.0280172i
-0.057514+0.0388129i	-0.0116587-0.00595766i	0.0184664-0.0133132i	-0.0202889+0.00297349i	0.0241616+0.00389787i	0.0198548+0.00956916i	-0.00244786-0.0263709i	-0.00513186+0.0365002i	-0.0146657+0.040032i	0.0241558-0.0365631i	-0.0344259+0.0382655i	0.0303729-0.0386555i	-0.0339568+0.0453552i	-0.0267053+0.0456483i	-0.00686735+0.034071i	-0.00135072-0.0275075i	0.0105037+0.00497156i	0.0135962-0.0359982i	-0.00159802-0.0223126i	0.0104837+0.00730834i	0.0100351+0.00795625i	0.0134681+0.00489535i	-0.0225397+0.00280263i	0.0252241-0.00841556i	-0.0240904+0.00736873i	-0.0245776+0.00802519i	-0.0328705+0.0136535i	0.040065-0.014651i	-0.0356921+0.0156398i	-0.0356163+0.0196792i
-0.0464835+0.0445528i	-0.0152825+0.0192771i	0.0347874-0.0369976i	-0.0408091+0.0250634i	0.0448791-0.0148393i	0.0462207-0.00680079i	-0.0318991-0.0167529i	0.00332515+0.0394677i	0.00121532+0.0381135i	0.0276164-0.0472687i	-0.0291289+0.0406894i	0.0290129-0.0428916i	-0.021605+0.0460471i	-0.00312182+0.0412476i	0.00706413+0.0321317i	-0.027883-0.013855i	-0.000371428+0.0208062i	0.0155882-0.0437173i	0.0168968-0.0414556i	-0.00615007+0.0210522i	-0.00611988+0.0170081i	-0.00957963+0.0184891i	-0.00539641-0.00610214i	0.00836581+0.00173961i	-0.00771494-0.000404541i	-0.00617065-0.00108264i	-0.0159373+0.00487226i	0.0245345-0.00994366i	-0.0173199+0.00842844i	-0.01624+0.00422349i
0.0696539-0.06766i	-0.0156454+0.0328896i	0.0216653-0.0343905i	-0.0461401+0.0516407i	0.0602589-0.0490871i	0.0657705-0.0475893i	-0.0687397+0.0635583i	0.0673595-0.0585091i	0.0717456-0.0601954i	-0.0694259+0.0550407i	0.059127-0.0508994i	-0.0538426+0.0463242i	0.0449123-0.0404816i	0.0338818-0.0355436i	0.0205035-0.0303752i	-0.0104061+0.029031i	0.0398889-0.0561279i	-0.0425786+0.0590132i	-0.0325445+0.0509801i	0.0335648-0.0476088i	0.0446777-0.0526991i	0.0196299-0.0303558i	-0.0206162+0.026212i	0.0206937-0.02811i	-0.0126023+0.0222393i	-0.0219391+0.0262672i	-0.0240633+0.0245164i	0.0129023-0.0102439i	-0.00439226+0.00992915i	-0.00436103+0.0178702i
0.879588-0.467614i	0.845891-0.483066i	-0.82211+0.473019i	0.766387-0.473273i	-0.737602+0.474106i	-0.764926+0.47365i	0.70139-0.396284i	-0.647667+0.355992i	-0.649901+0.380374i	0.638664-0.425302i	-0.637101+0.439534i	0.65326-0.458262i	-0.646479+0.445873i	-0.646037+0.415665i	-0.662642+0.415359i	0.658927-0.383052i	-0.614585+0.407752i	0.607543-0.394944i	0.58543-0.369038i	-0.580599+0.387017i	-0.588946+0.420933i	-0.590257+0.4349i	0.590396-0.454683i	-0.580056+0.438021i	0.568798-0.443851i	0.60594-0.461663i	0.6259-0.440088i	-0.688677+0.4697i	0.718784-0.473973i	0.718441-0.462751i
0.0640538+3.10093i	0.0430641+3.05622i	-0.155089-2.91588i	0.191515+2.79822i	-0.195392-2.70662i	-0.198161-2.75695i	0.226288+2.64844i	-0.304256-2.60704i	-0.318889-2.61448i	0.288609+2.66065i	-0.313564-2.65808i	0.303304+2.6577i	-0.319242-2.62945i	-0.294714-2.60187i	-0.243177-2.61488i	0.253536+2.50215i	-0.465678-2.34847i	0.393897+2.43847i	0.430147+2.35035i	-0.516534-2.304i	-0.459084-2.4288i	-0.462805-2.42861i	0.441204+2.45219i	-0.414379-2.44311i	0.372422+2.46046i	0.348393+2.51469i	0.298275+2.49276i	-0.258705-2.63041i	0.231231+2.68453i	0.213303+2.69227i
