0.0108621+0.0111127i	0.00657683+0.0169288i	0.00372175+0.0237456i	-0.0107892-0.0185759i	0.00246353+0.00724486i	-0.00181536-0.00707846i	-0.00261537-0.0085685i	-0.00197127-0.0115739i	-0.00129668-0.00757849i	-0.00268141+0.00865475i	-0.000342804+0.0122119i	0.00326752-0.0109717i	-0.00198061+0.0104896i	-0.0039764+0.00930815i	-0.000865919-0.0130123i	0.00421763-0.0196573i	-0.00367962-0.0219822i	-0.000958646+0.0219703i	0.000967757+0.0227178i	0.0124216-0.0262755i	0.00770427-0.0100703i	0.0108263-0.00406653i	-0.0144208+0.00339873i	-0.0126167+0.000395067i	-0.0163304-0.00283695i	-0.0209455-0.00896816i	-0.0259091-0.000941153i	-0.0253571-0.00319157i	-0.0198794-0.00428123i	-0.011879+0.00347958i
-0.0215921-0.00122505i	-0.019959+0.000404637i	-0.0195863+0.00124103i	0.0178271+0.00199713i	-0.0171377-0.00260062i	0.0172811+0.00231239i	0.0181057+0.0024858i	0.0174232+0.00101998i	0.0165484+0.000185741i	-0.0165628-0.000775799i	-0.0161031-4.24345e-05i	0.0164916+0.000855013i	-0.0140897-0.00207993i	-0.014053-0.000579154i	0.0103169-3.25062e-05i	0.0107142-0.000593101i	0.0100496-0.00173824i	-0.0101979+0.00138909i	-0.00825907+0.00105848i	0.00693983-0.00119727i	0.00762505+0.000345288i	0.010343+0.000125584i	-0.00938182-0.00174221i	-0.0114191-0.00156762i	-0.012156-0.000729779i	-0.0129602-0.00210226i	-0.0156909-0.00221275i	-0.0111384-0.00053167i	-0.0128707+0.00188124i	-0.0138211+0.00179771i
-0.00895461-0.00549973i	-0.00999923-0.00370115i	-0.0104652-0.003031i	0.0087653+0.00438629i	-0.00772288-0.00516195i	0.0080695+0.00715507i	0.0076774+0.00721012i	0.00812545+0.00701246i	0.00731219+0.00662523i	-0.00715663-0.00676467i	-0.00674367-0.00634439i	0.00643607+0.00722054i	-0.00507906-0.0067823i	-0.0056957-0.00616671i	0.005255+0.00556664i	0.00596156+0.0051567i	0.00570007+0.00426036i	-0.00540225-0.0049501i	-0.00491186-0.00422924i	0.0052054+0.00410483i	0.00435231+0.00378281i	0.00507561+0.00436829i	-0.0032097-0.00457149i	-0.0046323-0.00537326i	-0.00528758-0.00509286i	-0.00475951-0.00648514i	-0.0063393-0.00817792i	-0.00584702-0.00560171i	-0.00694595-0.00541893i	-0.0074279-0.00598063i
-0.0140336+0.00643489i	-0.0129252+0.0084861i	-0.0118722+0.00984421i	0.0120158-0.00570416i	-0.0114383+0.00389768i	0.0123069-0.00337198i	0.0114949-0.00196294i	0.0118042-0.00235147i	0.0125717-0.00248539i	-0.0118754+0.00244244i	-0.0105831+0.00264919i	0.0110049-0.00132218i	-0.00955307-0.000289104i	-0.00898177+0.000552913i	0.00823996-0.000547947i	0.00920016-0.00116046i	0.00762235-0.00217853i	-0.00900821+0.00123562i	-0.00858572+0.00177744i	0.00805369-0.00161692i	0.00805558-0.00171518i	0.0100284-0.00258042i	-0.00916913+0.000962522i	-0.0107547+0.00225707i	-0.00935631+0.0020665i	-0.00979967+0.00180855i	-0.0111889+0.000782983i	-0.00930009+0.00150148i	-0.0101418+0.00172174i	-0.0112292+0.00243512i
-0.00482647+0.000885313i	-0.00406366-0.000136646i	-0.0034758-0.00245713i	0.00402073+0.00325729i	-0.00573459-0.00316137i	0.00416669+0.00209586i	0.00538586+0.00196309i	0.00562268-3.3564e-05i	0.00452956-0.00176047i	-0.00658081+0.00109516i	-0.00642852+0.000995184i	0.00723083-0.00109721i	-0.0081475+0.000317384i	-0.0061627-0.000247189i	0.00427275+0.00175702i	0.00462421+0.00220219i	0.00575766+0.00178701i	-0.00497993-0.00270731i	-0.00523363-0.00211938i	0.00697067+0.00211503i	0.00366184+0.00296826i	0.0046452+0.00201664i	-0.00426659-0.00113302i	-0.00593988+0.000149151i	-0.00720741-0.000386024i	-0.00725977+0.00132355i	-0.00730175+0.00634728i	-0.00443557+0.00758701i	-0.00262701+0.0049471i	-0.00338014+0.00415193i
0.00471755-0.00304237i	0.00639204-0.00336216i	0.00521128-0.00402448i	-0.00521489+0.00076134i	0.00585122+0.000614037i	-0.00598885-0.00169539i	-0.00525714-0.00304538i	-0.00524116-0.00410229i	-0.00531455-0.00489974i	0.00457659+0.00471463i	0.00455235+0.00346443i	-0.00385305-0.00323631i	0.0025291+0.00401028i	0.00197146+0.00332155i	-0.00147833-0.00402188i	-0.00164865-0.00349693i	-0.000701891-0.00331586i	0.00120562+0.00173025i	0.000344482+0.00283579i	0.000417995-0.0039098i	-0.000276591-0.00356367i	-0.000635878-0.00367877i	0.000481061+0.0043402i	0.00130044+0.00384617i	0.00114864+0.00456657i	0.00172236+0.0052467i	0.00336481+0.00681681i	0.00135556+0.00697475i	0.00258847+0.00564168i	0.00254951+0.00667178i
0.00561437-0.000540384i	0.00680869-0.00102089i	0.0066512-0.00178847i	-0.00563772-0.00081442i	0.00639409+0.0023874i	-0.00686306-0.00342868i	-0.0059892-0.00464083i	-0.00568735-0.00607974i	-0.00556384-0.00710223i	0.00454303+0.00682567i	0.00465089+0.00538958i	-0.00375874-0.00487737i	0.0021812+0.00545033i	0.00184691+0.00431391i	-0.00110555-0.00494301i	-0.00145383-0.00437718i	-0.000154967-0.00374003i	0.00119761+0.00241237i	-0.00038922+0.00334831i	0.00112654-0.00391057i	0.000272905-0.00369635i	-0.000334465-0.0038141i	-0.00025768+0.0049048i	0.000736899+0.00503579i	0.000328767+0.00563817i	0.000807722+0.00707914i	0.00271915+0.00801377i	-1.97031e-05+0.00814579i	0.00151876+0.0073881i	0.00096531+0.00859122i
0.00611938-0.00105412i	0.00705277-0.00270743i	0.00607246-0.00210515i	-0.00690595-0.00183448i	0.00653117+0.00186481i	-0.00691539-0.00269502i	-0.00591979-0.00340246i	-0.00645129-0.004738i	-0.00654625-0.00602179i	0.00551943+0.00559438i	0.0052622+0.00437933i	-0.00432983-0.00419192i	0.00256442+0.0048907i	0.00197337+0.00384973i	-0.00128105-0.00442748i	-0.00172674-0.0039266i	-0.000523682-0.00311804i	0.00168717+0.00188691i	0.00059952+0.00325122i	0.000755139-0.00456502i	-0.00114202-0.00377637i	-0.00135788-0.00398909i	0.00122767+0.00471859i	0.00264063+0.00440952i	0.0017456+0.00506566i	0.00230395+0.00593932i	0.00327317+0.00754378i	0.00225165+0.00812776i	0.0032622+0.00701987i	0.00321566+0.00800678i
0.00621302-0.00738488i	0.00803227-0.00700793i	0.00539376-0.00175133i	-0.00260663+0.00296032i	0.00501772-0.00110352i	-0.00578163+0.000932203i	-0.0055807-0.00119413i	-0.00484761-0.0021278i	-0.00434392-0.00247679i	0.00408312+0.00235152i	0.00444831+0.00212726i	-0.00387453-0.00217875i	0.00286962+0.0018089i	0.0031715+0.000530648i	-0.00538765+0.000707821i	-0.00450383+0.00112357i	-0.00431879+0.00115021i	0.00486439-0.00223922i	0.00226376-0.002726i	-0.000892547+0.00362113i	-0.0029204+0.00203315i	-0.00191326+0.00233633i	0.00183265-0.00142758i	0.00169144-0.00160585i	0.000874038-0.000415129i	0.000660068+0.00218447i	0.00169751+0.00522156i	0.00118982+0.00552058i	0.00371887+0.00449262i	0.00425449+0.00568837i
-0.103465-0.183838i	-0.0999334-0.184885i	-0.0949279-0.17996i	0.0933067+0.174674i	-0.10017-0.173405i	0.101216+0.16991i	0.101662+0.170985i	0.101637+0.167598i	0.0972464+0.167537i	-0.098916-0.16515i	-0.100299-0.163796i	0.100509+0.162915i	-0.101474-0.161688i	-0.103749-0.160689i	0.101889+0.157878i	0.105409+0.160773i	0.106511+0.159908i	-0.107583-0.162402i	-0.107019-0.159305i	0.11169+0.155956i	0.107686+0.158643i	0.107792+0.16008i	-0.108553-0.156866i	-0.109116-0.159331i	-0.112854-0.155095i	-0.116225-0.154227i	-0.113633-0.156581i	-0.119814-0.158891i	-0.120109-0.16539i	-0.11867-0.166689i
0.649527	0.651518	0.652844	-0.652959	0.651496	-0.650556	-0.650383	-0.651958	-0.652025	0.651191	0.651569	-0.652293	0.652348	0.652475	-0.653023	-0.652048	-0.652535	0.652336	0.652762	-0.651729	-0.652158	-0.651067	0.651168	0.649883	0.649331	0.64879	0.647569	0.64768	0.645367	0.644882
